Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
d-ashakiran-19-ember-steel-spotted,D Ashakiran 19 - Ember Steel- 440Hz - Spotted,"<p>Please note - these instruments have spots on the surface, these are purely aesthetic and do not change the sound in any way.</p><p>The D Ashakiran 19 is the most popular extended major scale around. The uplifting and happy mood of the instrument makes it easy and fun to play. The Ashakiran can also add a touch of melancholy. This makes it a very versatile scale to play. The F#5 on top and bottom notes complete the instrument.</p><p>D Ashakiran 19 - Ember Steel - Spotted</p><p>Full extended D major scale</p><p>We need to pack your instrument in a proper handpan case in order</p><p>for your instrument to arrive safely.</p><p>Please choose a bag</p><p>75.00 -</p><p>Ayasa Soft Case</p><p>200.00 -</p><p>Evatek 2.0 HCT Woodbine</p><p>200.00 -</p><p>Evatek 2.0 HCT Blue Moon</p><p>200.00 -</p><p>Evatek 2.0 HCT A.J.P. Signature</p><p>(out of stock)</p><p>200.00 -</p><p>Evatek 2.0 HCT Stonewash</p><p>200.00 -</p><p>Evatek 2.0 HCT Cayenne</p><p>200.00 -</p><p>Evatek 2.0 HCT Black</p><p>200.00 -</p><p>Evatek 2.0 HCT Mustang</p><p>250.00 -</p><p>HCT Cargo Hardcase</p><p>(out of stock)</p>",Ayasa Instruments,Handpan,"instrument, free-tshirt",TRUE,Title,Default Title,,5000,shopify,1,deny,manual,4400.00,,TRUE,TRUE,https://shop.ayasainstruments.com/storage/products/x2U6z11tLeTKfKKEHpmK3qwfPftN1mMYmTS9oOAY.png,1,D Ashakiran 19 - Ember Steel- 440Hz - Spotted,active
fis-low-pygmy-21-ember-steel,F# Low Pygmy 21 - Ember Steel - 440Hz,"<p>The F# Low Pygmy is one of our favourite models of extended scales. It is a pentatonic scale on the top side of the instrument, meaning there are only 5 different notes. This creates a certain mood which sounds very ethereal and at the same time comforting. The bottom notes extend the range of the scale but also add the 2 missing notes to create the full diatonic F# minor scale.</p><p>This makes the top side of the instrument very intuitive to play but with the extension of the bottom it also allows for infinite possibilities for making compositions and playing meditatively whilst being able to change the mood you are in. At the same time it is an A major instrument when you start from the A.</p><p>A side note: the patina on most ember steel handpans is not stable and the instruments are likely to change colour. This does not affect the sound or tuning, it just creates a vintage look.</p><p>F# Low Pygmy 21 - Ember Steel</p><p>Full extended F# minor scale</p><p>We need to pack your instrument in a proper handpan case in order</p><p>for your instrument to arrive safely.</p><p>Please choose a bag</p><p>75.00 -</p><p>Ayasa Soft Case</p><p>200.00 -</p><p>Evatek 2.0 HCT Woodbine</p><p>200.00 -</p><p>Evatek 2.0 HCT Blue Moon</p><p>200.00 -</p><p>Evatek 2.0 HCT A.J.P. Signature</p><p>(out of stock)</p><p>200.00 -</p><p>Evatek 2.0 HCT Stonewash</p><p>200.00 -</p><p>Evatek 2.0 HCT Cayenne</p><p>200.00 -</p><p>Evatek 2.0 HCT Black</p><p>200.00 -</p><p>Evatek 2.0 HCT Mustang</p><p>250.00 -</p><p>HCT Cargo Hardcase</p><p>(out of stock)</p>",Ayasa Instruments,Handpan,"instrument, free-tshirt",TRUE,Title,Default Title,,5000,shopify,1,deny,manual,4800.00,,TRUE,TRUE,https://shop.ayasainstruments.com/storage/products/NSeM0PXVp5rY7JyNszyhXYXdIJbZ57ZaS20unCFg.png,1,F# Low Pygmy 21 - Ember Steel - 440Hz,active
fis-low-pygmy-21-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/fX6lrdqs7N1jFbGW8PNHTo1MclBSsLkNWlF76jS0.png,2,F# Low Pygmy 21 - Ember Steel - 440Hz,
fis-low-pygmy-21-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/XES0PGHeb1xxeJxjvfCZUfthiH61Kt1ctMKClZbG.png,3,F# Low Pygmy 21 - Ember Steel - 440Hz,
fis-low-pygmy-21-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/JtFjqND3170jRYI5emajHeizLVWcO8mgUx0tH2dw.png,4,F# Low Pygmy 21 - Ember Steel - 440Hz,
fis-low-pygmy-21-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/rZrJcOSYUPZxWpP1JY8deKBIVx1WmS4kD4g5a32y.png,5,F# Low Pygmy 21 - Ember Steel - 440Hz,
d-aegean-18-ember-steel,D Aegean 18 - Ember Steel - 440Hz,"<p>The D Aegean 18 is an extended D Lydian scale. The sound of the Aegean is spacious and creates a beautiful mysterious atmosphere. The B2 adds a very deep layer to this scale. It’s suitable for different musical expressions, ranging from deep meditative moods to melodic explorations.</p><p>D Aegean 18 - Ember Steel</p><p>Full extended F# minor scale (D Ding)</p><p>We need to pack your instrument in a proper handpan case in order</p><p>for your instrument to arrive safely.</p><p>Please choose a bag</p><p>75.00 -</p><p>Ayasa Soft Case</p><p>200.00 -</p><p>Evatek 2.0 HCT Woodbine</p><p>200.00 -</p><p>Evatek 2.0 HCT Blue Moon</p><p>200.00 -</p><p>Evatek 2.0 HCT A.J.P. Signature</p><p>(out of stock)</p><p>200.00 -</p><p>Evatek 2.0 HCT Stonewash</p><p>200.00 -</p><p>Evatek 2.0 HCT Cayenne</p><p>200.00 -</p><p>Evatek 2.0 HCT Black</p><p>200.00 -</p><p>Evatek 2.0 HCT Mustang</p><p>250.00 -</p><p>HCT Cargo Hardcase</p><p>(out of stock)</p>",Ayasa Instruments,Handpan,"instrument, free-tshirt",TRUE,Title,Default Title,,5000,shopify,1,deny,manual,4500.00,4700.00,TRUE,TRUE,https://shop.ayasainstruments.com/storage/products/WChhDT8c8J4XpJ4HG7a3sBEcQPg7U30BGhkUNbfd.png,1,D Aegean 18 - Ember Steel - 440Hz,active
d-aegean-18-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/JjxWDybDNQ0vl6C1so1AZBZSf7IJRanq621xMunH.png,2,D Aegean 18 - Ember Steel - 440Hz,
d-aegean-18-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/bC0tlst7N32Fc6Z6MnhjrWTczQGj4t9E6Eu149Cf.png,3,D Aegean 18 - Ember Steel - 440Hz,
d-aegean-18-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/k1r6rJvUlOWA7E7GzS75Cf7NkKVWTOA34ffSccow.png,4,D Aegean 18 - Ember Steel - 440Hz,
d-aegean-18-ember-steel,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/1o7XMpgofVKnF6qBrSVaT25ZEkXWJqneT3GToeaV.png,5,D Aegean 18 - Ember Steel - 440Hz,
e-amara-20-ember-steel-scratched,E-Amara 20 Ember Steel - Scratched - 440Hz,"<p>PLEASE NOTE: This instrument has a small scratch on the A4 and is therefore reduced in price. The instrument displayed on the pictures is the actual instrument for sale and cannot be returned for this reason (the scratch). The scratch doesn't affect the sound and is purely esthetical.</p><p>The E Amara 20 Ember Steel is one of our favorite extended models that we have been perfecting over a long period of time. With this scale you have the full diatonic E minor scale and with the low bottom notes, going all the way down to C3, you are also able to play in all the seven musical modes and make deep chords.</p><p>E minor (and if you would start from the G, it is also G major) is a very popular scale in music, this makes the E Amara a great model for jamming with other musicians. It contains all the white keys on the piano except for the F which is an F# in this scale.</p>",Ayasa Instruments,Handpan,"instrument, free-tshirt",TRUE,Title,Default Title,,5000,shopify,1,deny,manual,4600.00,,TRUE,TRUE,https://shop.ayasainstruments.com/storage/products/JQpxbONnLVUywOVMPlFM5HRX6TQgFnCzCpKZCwhX.png,1,E-Amara 20 Ember Steel - Scratched - 440Hz,active
e-amara-20-ember-steel-scratched,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/nSaHcEMHfwBa5pPXzBMTg35r1M7bDdTcqDXdAEhb.png,2,E-Amara 20 Ember Steel - Scratched - 440Hz,
e-amara-20-ember-steel-scratched,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/GkiB4GPbdbgPWNv8fUWUpDPYtTuVz3LErDgvppV9.png,3,E-Amara 20 Ember Steel - Scratched - 440Hz,
e-amara-20-ember-steel-scratched,,,,,,,,,,,,,,,,,,,https://shop.ayasainstruments.com/storage/products/BfELhkbgMIOLGLSfr29ez9rjcWwybCkVKOtQJZlY.png,4,E-Amara 20 Ember Steel - Scratched - 440Hz,
